Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),"	24h Low (USD)",Adj Close,Volume
USD,3/2/2015,275.670013,260.356995,276.300995,258.312988,275.670013,40465700
USD,3/3/2015,281.701996,275.04599,285.79599,268.161011,281.701996,50461300
USD,3/4/2015,273.09201,281.98999,284.225006,268.126007,273.09201,41383000
USD,3/5/2015,276.178009,272.739014,281.666992,264.769012,276.178009,41302400
USD,3/6/2015,272.722992,275.600006,277.608002,270.015015,272.722992,28918900
USD,3/7/2015,276.260986,272.294006,277.854004,270.132996,276.260986,17825900
USD,3/8/2015,274.354004,276.433014,277.858002,272.565002,274.354004,22067900
USD,3/9/2015,289.606995,274.812012,292.700989,273.893005,289.606995,59178200
USD,3/10/2015,291.76001,289.862,300.044006,289.743011,291.76001,67770800
USD,3/11/2015,296.378998,291.524994,297.390991,290.507996,296.378998,33963900
USD,3/12/2015,294.354004,296.127014,297.088013,292.412994,294.354004,32585200
USD,3/13/2015,285.337006,294.118011,294.497986,285.337006,285.337006,31421500
USD,3/14/2015,281.88501,284.441986,286.34201,280.976013,281.88501,22612300
USD,3/15/2015,286.393005,281.424988,286.528992,280.996002,286.393005,11970100
USD,3/16/2015,290.592987,285.684998,294.112,285.684998,290.592987,21516100
USD,3/17/2015,285.505005,290.595001,292.36499,284.373993,285.505005,21497200
USD,3/18/2015,256.299011,285.066986,285.335999,249.869995,256.299011,57008000
USD,3/19/2015,260.928009,255.880005,264.243988,248.636002,260.928009,52732000
USD,3/20/2015,261.748993,260.955994,264.847992,259.161987,261.748993,18456700
USD,3/21/2015,260.024994,261.644012,262.196014,255.649994,260.024994,17130100
USD,3/22/2015,267.959991,259.916992,269.747009,259.589996,267.959991,18438100
USD,3/23/2015,266.73999,267.894989,277.296997,261.744995,266.73999,22811900
USD,3/24/2015,245.595001,266.576996,267.002991,244.154999,245.595001,40073700
USD,3/25/2015,246.197006,247.472,249.190002,236.514999,246.197006,35866900
USD,3/26/2015,248.531998,246.276001,254.354004,244.904999,248.531998,25730000
USD,3/27/2015,247.029007,248.565994,256.811005,245.212997,247.029007,17274900
USD,3/28/2015,252.798004,246.975006,254.205002,246.975006,252.798004,16040900
USD,3/29/2015,242.712997,252.740005,253.139008,240.850006,242.712997,21699400
USD,3/30/2015,247.526001,242.878998,249.242004,239.214005,247.526001,23009600
USD,3/31/2015,244.223999,247.453995,248.729996,242.738998,244.223999,22672000
USD,4/1/2015,247.272003,244.223007,247.541,241.160004,247.272003,22877200
USD,4/2/2015,253.005005,247.089005,254.460999,245.416,253.005005,26272600
USD,4/3/2015,254.322006,253.074005,256.042999,251.878998,254.322006,23146600
USD,4/4/2015,253.697006,254.291,255.257996,251.100006,253.697006,12493500
USD,4/5/2015,260.597992,253.761002,260.674988,251.942001,260.597992,19649200
USD,4/6/2015,255.492004,260.721008,261.798004,254.574997,255.492004,20034200
USD,4/7/2015,253.179993,255.274002,255.804993,252.205002,253.179993,18467400
USD,4/8/2015,245.022003,253.063995,253.847,244.214996,245.022003,30086400
USD,4/9/2015,243.675995,244.751007,246.117996,239.399994,243.675995,21643500
USD,4/10/2015,236.072006,243.694,243.694,232.770996,236.072006,28882000
USD,4/11/2015,236.552002,236.016006,239.537003,234.175003,236.552002,16365200
USD,4/12/2015,236.153,236.535004,237.727997,233.494995,236.153,12387900
USD,4/13/2015,224.587006,235.949997,236.934998,221.996002,224.587006,31181800
USD,4/14/2015,219.158997,224.759003,224.975998,216.322998,219.158997,31719000
USD,4/15/2015,223.832993,219.072998,223.832993,218.649002,223.832993,22562000
USD,4/16/2015,228.572998,223.917007,229.671997,223.917007,228.572998,24805400
USD,4/17/2015,222.882004,228.574997,228.906006,221.942001,222.882004,20429800
USD,4/18/2015,223.356003,222.852997,224.315994,220.876007,223.356003,12939000
USD,4/19/2015,222.600006,223.455994,226.352997,222.373001,222.600006,15021500
USD,4/20/2015,224.626007,222.612,226.350998,221.977005,224.626007,18364700
USD,4/21/2015,235.268997,224.619995,235.268997,224.300995,235.268997,24978000
USD,4/22/2015,234.175995,235.602005,237.908997,233.475998,234.175995,23847900
USD,4/23/2015,236.462006,234.052994,236.475006,233.199005,236.462006,17036000
USD,4/24/2015,231.268005,235.970001,236.304993,229.932999,231.268005,21448700
USD,4/25/2015,226.389999,231.235001,232.561005,226.337006,226.389999,13957200
USD,4/26/2015,219.429993,226.410004,226.944,214.873993,219.429993,28943700
USD,4/27/2015,229.285995,219.429001,233.304993,218.022995,229.285995,38574000
USD,4/28/2015,225.854996,228.968994,229.494995,223.069,225.854996,21469200
USD,4/29/2015,225.807999,225.591003,227.039993,223.429993,225.807999,18936500
USD,4/30/2015,236.145004,225.692993,239.563004,224.992996,236.145004,33818600
USD,5/1/2015,232.078995,235.938995,238.966003,232.078995,232.078995,18815300
USD,5/2/2015,234.929993,232.341003,235.727005,232.341003,234.929993,12535500
USD,5/3/2015,240.358002,234.880005,243.240005,234.082993,240.358002,18494100
USD,5/4/2015,239.018005,240.356003,242.638,237.809998,239.018005,21223400
USD,5/5/2015,236.121002,238.852005,239.203995,232.054001,236.121002,23929100
USD,5/6/2015,229.781998,236.248993,236.453995,229.231003,229.781998,29587200
USD,5/7/2015,237.334,229.662003,239.104996,228.572998,237.334,29064400
USD,5/8/2015,243.863007,237.203995,246.274994,236.274002,243.863007,27445500
USD,5/9/2015,241.832001,243.768997,247.804001,239.639008,241.832001,19790500
USD,5/10/2015,240.296005,241.729004,244.067993,238.848999,240.296005,15019100
USD,5/11/2015,242.158005,240.298996,244.270004,239.376007,242.158005,20892300
USD,5/12/2015,241.112,242.145004,242.880997,240.098999,241.112,19282600
USD,5/13/2015,236.376999,241.397995,243.703995,235.044998,236.376999,27180100
USD,5/14/2015,236.929001,236.214005,237.798996,234.057007,236.929001,24413700
USD,5/15/2015,237.604996,236.955002,238.753006,236.794998,237.604996,16329400
USD,5/16/2015,236.153,237.643997,237.697006,235.294998,236.153,11089700
USD,5/17/2015,236.802002,236.009995,238.024994,236.009995,236.802002,11134300
USD,5/18/2015,233.128006,236.886993,237.210007,232.460007,233.128006,16780300
USD,5/19/2015,231.947006,233.037003,234.151001,231.817001,231.947006,14241900
USD,5/20/2015,234.018005,231.889999,234.682999,231.841995,234.018005,15499400
USD,5/21/2015,235.343994,234.016006,236.242004,233.835007,235.343994,15108900
USD,5/22/2015,240.348007,235.320999,240.968994,235.059998,240.348007,27003000
USD,5/23/2015,238.871994,240.285995,241.024994,238.690994,238.871994,14605000
USD,5/24/2015,240.953003,238.975998,241.977997,238.811005,240.953003,11508000
USD,5/25/2015,237.110001,240.927002,241.020996,236.636993,237.110001,14423900
USD,5/26/2015,237.115997,237.104004,238.242004,235.692001,237.115997,16425000
USD,5/27/2015,237.283005,237.065002,238.636002,236.695007,237.283005,18837000
USD,5/28/2015,237.408005,237.257004,237.824005,236.651993,237.408005,13829600
USD,5/29/2015,237.095993,237.376999,237.522003,235.731003,237.095993,14805000
